AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,MeanRR,MeanRG,MeanRB,StdDevRR,StdDevRG,StdDevRB,SkewRR,SkewRG,SkewRB,KurtosisRR,KurtosisRG,KurtosisRB,EntropyRR,EntropyRG,EntropyRB,ALLdaub4RR,ALLdaub4RG,ALLdaub4RB,Class
422163,2378.908,837.8484,645.6693,0.6373,733.1539,0.9947,424428,0.7831,1.2976,0.9374,0.875,0.002,0.0015,0.7657,0.9936,117.4466,109.9085,95.6774,26.5152,23.0687,30.123,-0.5661,-0.0114,0.6019,3.237,2.9574,4.2287,-59191263232,-50714214400,-39922372608,58.7255,54.9554,47.84,BERHI
338136,2085.144,723.8198,595.2073,0.569,656.1464,0.9974,339014,0.7795,1.2161,0.9773,0.9065,0.0021,0.0018,0.8218,0.9993,100.0578,105.6314,95.661,27.2656,23.4952,28.1229,-0.2328,0.1349,0.4134,2.6228,2.635,3.1704,-34233065472,-37462601728,-31477794816,50.0259,52.8168,47.8315,BERHI
526843,2647.394,940.7379,715.3638,0.6494,819.0222,0.9962,528876,0.7657,1.315,0.9446,0.8706,0.0018,0.0014,0.758,0.9968,130.9558,118.5703,103.875,29.7036,24.6216,33.9053,-0.7152,-0.1059,0.9183,3.7516,3.8611,4.7192,-93948354560,-74738221056,-60311207936,65.4772,59.286,51.9378,BERHI
416063,2351.21,827.9804,645.2988,0.6266,727.8378,0.9948,418255,0.7759,1.2831,0.9458,0.8791,0.002,0.0016,0.7727,0.9915,86.7798,88.2531,82.3751,28.7288,24.4905,30.3955,0.4584,1.2917,1.8028,5.0401,8.6136,8.2618,-32074307584,-32060925952,-29575010304,43.39,44.1259,41.1882,BERHI
267823,1988.671,781.2097,441.0466,0.8254,583.9545,0.9915,270119,0.8212,1.7713,0.851,0.7475,0.0029,0.0016,0.5588,0.9897,122.736,111.2873,119.6024,29.516,20.6989,20.5735,-0.5255,-0.0949,-0.4587,2.9397,3.2605,3.9097,-41729191936,-32681768960,-38074142720,61.3638,55.6438,59.7987,DEGLET
235942,1893.777,744.0038,404.7032,0.8391,548.0974,0.9831,239996,0.7383,1.8384,0.8267,0.7367,0.0032,0.0017,0.5427,0.9977,115.7687,111.2267,104.8903,30.8715,28.5026,24.5829,-0.3471,-0.1928,-0.2256,2.5077,2.215,2.5069,-32840615936,-29875372032,-25902360576,57.8901,55.6183,52.4509,DEGLET
261890,2027.2321,697.621,482.5237,0.7222,577.4502,0.9751,268565,0.6875,1.4458,0.8008,0.8277,0.0027,0.0018,0.6852,0.9906,130.7202,126.0636,113.2904,37.1222,33.0479,29.1683,-0.3579,-0.0193,-0.2971,2.4955,2.3934,2.7137,-48176062464,-43876425728,-34554867712,65.356,63.0313,56.6447,DEGLET
285100,2053.1699,791.5107,463.6347,0.8105,602.4953,0.9897,288053,0.8314,1.7072,0.8499,0.7612,0.0028,0.0016,0.5794,0.9892,120.8366,104.4141,117.427,28.9185,23.8252,22.7962,-0.2599,0.246,-0.2731,2.5787,2.882,2.963,-42902253568,-30888830976,-39320027136,60.4224,52.2141,58.72,DEGLET
326556,2313.791,856.9423,487.3175,0.8226,644.8132,0.9792,333503,0.7402,1.7585,0.7665,0.7525,0.0026,0.0015,0.5662,0.9956,128.1456,119.2813,110.4533,33.9892,34.8911,30.1728,-0.277,0.0137,0.2855,2.3932,2.0011,2.4371,-56812896256,-49415905280,-41182121984,64.0726,59.6426,55.2274,DEGLET
106793,1217.454,434.7454,313.3625,0.6931,368.7453,0.9883,108062,0.747,1.3874,0.9054,0.8482,0.0041,0.0029,0.7194,0.9981,109.4719,106.1306,101.5765,35.9257,34.2667,30.1076,-0.0022,0.1193,0.2811,1.8838,1.8167,2.1977,-13722007552,-12767454208,-11370534912,54.7404,53.0704,50.7942,DOKOL
190634,1662.217,625.8346,390.4694,0.7815,492.669,0.9884,192862,0.8131,1.6028,0.867,0.7872,0.0033,0.002,0.6197,0.9933,145.7374,144.5245,127.1269,30.4779,23.2386,21.7898,-1.2773,-0.8654,-0.3841,4.3862,4.0821,3.5399,-42598805504,-40928096256,-30997839872,72.8723,72.2653,63.5672,DOKOL
144637,1422.494,523.191,352.5846,0.7388,429.1358,0.9905,146022,0.7623,1.4839,0.8982,0.8202,0.0036,0.0024,0.6728,0.9983,123.5578,122.1742,114.7809,28.6747,22.563,26.1378,-0.9937,-0.3999,-0.218,3.8348,3.2121,2.6395,-22750343168,-21672732672,-19304228864,61.781,61.092,57.3966,DOKOL
129886,1365.856,519.2155,318.9104,0.7891,406.6645,0.9908,131098,0.6861,1.6281,0.8749,0.7832,0.004,0.0025,0.6134,0.9987,143.482,137.5604,125.512,31.6021,23.369,23.8488,-1.4328,-0.6273,-0.7223,4.6892,3.0388,3.0175,-28202487808,-25110024192,-20702752768,71.7408,68.7822,62.7593,DOKOL
126292,1319.9,488.1225,330.096,0.7367,400.9987,0.9929,127190,0.7113,1.4787,0.911,0.8215,0.0039,0.0026,0.6749,0.998,125.704,122.87,113.3824,33.9782,26.7273,27.5417,-0.8778,-0.4465,-0.4281,3.1088,2.5801,2.5203,-21109915648,-19476973568,-16545778688,62.8528,61.4384,56.6934,DOKOL
436325,2413.9519,818.495,683.0888,0.5509,745.3497,0.9923,439695,0.7498,1.1982,0.9409,0.9106,0.0019,0.0016,0.8293,0.9936,99.0085,96.7547,95.0666,29.0933,24.6426,28.5594,0.1325,1.0604,1.2375,4.6856,6.5907,6.8689,-43799437312,-40602427392,-40291823616,49.5041,48.3784,47.5345,IRAQI
411293,2337.731,826.503,635.2358,0.6398,723.6536,0.994,413795,0.7242,1.3011,0.9457,0.8756,0.002,0.0015,0.7666,0.9974,82.7696,87.4077,95.5518,27.0027,24.8453,27.4159,0.2557,1.0565,0.3852,5.0279,7.444,5.3998,-28428578816,-31159521280,-37994721280,41.3841,43.7034,47.7762,IRAQI
445077,2421.2759,806.3325,708.2914,0.4779,752.7879,0.9927,448336,0.7599,1.1384,0.954,0.9336,0.0018,0.0016,0.8716,0.9922,78.0223,83.0704,84.5894,19.686,19.26,22.2599,0.1235,1.8133,0.7154,4.8636,10.4577,5.9001,-25627045888,-29139240960,-30900807680,39.0078,41.5342,42.2933,IRAQI
411708,2318.344,805.4811,652.9468,0.5856,724.0186,0.9965,413165,0.7867,1.2336,0.9626,0.8989,0.002,0.0016,0.808,0.9967,74.157,73.4343,72.6707,22.2553,23.6311,27.8553,1.9444,2.4694,1.867,14.6318,13.6942,10.2999,-21918187520,-21830563840,-22435819520,37.0776,36.7169,36.3352,IRAQI
384507,2233.978,755.8359,649.9842,0.5104,699.6924,0.9964,385881,0.752,1.1629,0.9682,0.9257,0.002,0.0017,0.857,0.9965,73.6073,80.125,70.5514,28.9431,29.0901,30.4619,1.3595,1.3961,1.6655,6.2879,6.2378,8.0298,-21725638656,-25549766656,-20514621440,36.8009,40.0605,35.2734,IRAQI
446609,2496.418,851.7825,671.7365,0.6149,754.0824,0.99,451141,0.7824,1.268,0.9005,0.8853,0.0019,0.0015,0.7838,0.9938,58.2296,63.8872,63.0244,25.3084,26.9632,30.3322,1.6326,1.8805,1.4706,7.329,8.1993,5.9297,-15587183616,-18950828032,-19472838656,29.1137,31.9427,31.5115,IRAQI
339989,2231.875,785.7068,559.6172,0.7019,657.9418,0.9813,346471,0.7835,1.404,0.8577,0.8374,0.0023,0.0016,0.7012,0.9845,149.3025,133.9797,123.4763,29.0561,26.7523,22.9533,-0.9854,-0.0914,-0.3402,5.3136,2.3778,3.4379,-79562604544,-62888714240,-52180217856,74.6492,66.9886,61.7371,ROTANA
385428,2473.9919,859.162,580.8442,0.7368,700.5299,0.9712,396843,0.652,1.4792,0.7913,0.8154,0.0022,0.0015,0.6648,0.9834,126.7851,120.9,113.1425,32.6342,29.9828,31.0653,-0.9406,-0.7191,-0.5676,3.4125,3.1133,2.9982,-65123586048,-58334138368,-51239309312,63.3941,60.4532,56.574,ROTANA
354782,2409.512,795.9382,578.1101,0.6874,672.103,0.966,367255,0.7259,1.3768,0.7679,0.8444,0.0022,0.0016,0.713,0.9817,129.8796,117.2839,121.3252,25.4743,22.3457,24.0239,-0.5671,-0.1251,-0.2906,3.3585,3.3088,3.6793,-61159112704,-48717725696,-52684435456,64.937,58.6428,60.6601,ROTANA
394814,2429.5791,867.8884,588.9705,0.7345,709.0083,0.9729,405825,0.7532,1.4736,0.8405,0.8169,0.0022,0.0015,0.6674,0.9834,128.3423,119.9018,118.2092,30.9776,27.0851,27.6876,-0.6416,-0.3693,-0.5315,3.0499,2.5538,3.0385,-67905892352,-57957273600,-56420200448,64.1721,59.9487,59.103,ROTANA
414065,2406.9331,802.006,662.986,0.5627,726.0881,0.9866,419708,0.7543,1.2097,0.8982,0.9053,0.0019,0.0016,0.8196,0.9915,121.1842,108.0399,110.2806,31.7183,30.6265,28.4954,-0.3632,0.1473,-0.0214,2.7547,2.6738,3.7012,-63548239872,-50064363520,-51523076096,60.5938,54.0225,55.1423,ROTANA
373187,2441.991,852.2258,570.3242,0.7431,689.3159,0.9681,385468,0.708,1.4943,0.7864,0.8088,0.0023,0.0015,0.6542,0.9776,128.4195,120.9444,116.448,35.2372,33.0864,33.7272,-0.4741,-0.329,-0.3236,2.6318,2.4507,2.4652,-65594073088,-57460002816,-53419327488,64.2124,60.4724,58.2258,ROTANA
423852,2424.627,826.4653,654.4321,0.6107,734.619,0.9919,427310,0.7363,1.2629,0.906,0.8889,0.0019,0.0015,0.7901,0.9978,124.0013,118.2137,117.362,33.1771,31.656,27.1855,-0.2775,-0.2786,-0.1447,2.3757,2.3962,2.8238,-68689510400,-61830262784,-59549659136,61.9957,59.1049,58.678,ROTANA
419805,2507.5659,862.3845,623.2335,0.6912,731.1035,0.9769,429713,0.7616,1.3837,0.839,0.8478,0.0021,0.0015,0.7187,0.9945,108.2353,102.1628,104.7091,27.4917,25.6938,27.1469,-0.5391,-0.0941,-0.0449,2.8459,2.9515,2.6567,-49958457344,-43925884928,-46610759680,54.1235,51.0872,52.3601,ROTANA
378359,2342.5061,849.3478,569.2149,0.7422,694.0761,0.9896,382342,0.6959,1.4921,0.8665,0.8172,0.0022,0.0015,0.6678,0.9964,136.6293,127.0061,123.6878,39.7681,36.6147,36.6194,-0.3908,-0.2618,-0.1277,2.2888,2.2654,2.6505,-77073580032,-65523011584,-62150873088,68.3152,63.5039,61.8443,ROTANA
